taxonID	acceptedNameUsageID	parentNameUsageID	scientificName	scientificNameAuthorship	kingdom	phylum	class	order	superfamily	family	genus	subgenus	specificEpithet	infraspecificEpithet	taxonRank	taxonomicStatus	modified	namePublishedIn	scientificNameID	verbatimTaxonRank	taxonRemarks	higherClassification
202422			Plantae												kingdom	accepted	2004-02-23		202422			
954898		202422	Viridiplantae		Plantae										subkingdom	accepted	2018-09-25		954898			Plantae
846492	954898		Viridaeplantae		Plantae										subkingdom	homotypicSynonym	2014-12-22		846492			Plantae
846494		954898	Streptophyta		Plantae										infrakingdom	accepted	2014-12-22		846494			Plantae|Viridiplantae
954900		846494	Embryophyta		Plantae										superdivision	accepted	2014-12-22		954900			Plantae|Viridiplantae|Streptophyta
954911	954900		Embryopsida		Plantae										class	synonym	2014-12-22		954911			Plantae|Viridiplantae|Streptophyta
846496		954900	Tracheophyta		Plantae										division	accepted	2014-12-22		846496			Plantae|Viridiplantae|Streptophyta|Embryophyta
17002	846496		Psilotophyta		Plantae										division	synonym	2014-12-22		17002			Plantae|Viridiplantae|Streptophyta|Embryophyta
17009	846496		Microphyllophyta		Plantae										division	synonym	2014-12-22		17009			Plantae|Viridiplantae|Streptophyta|Embryophyta
17144	846496		Arthrophyta		Plantae										division	synonym	2014-12-22		17144			Plantae|Viridiplantae|Streptophyta|Embryophyta
17166	846496		Pterophyta		Plantae										division	synonym	2014-12-22		17166			Plantae|Viridiplantae|Streptophyta|Embryophyta
18014	846496		Cycadophyta		Plantae										division	synonym	2014-12-22		18014			Plantae|Viridiplantae|Streptophyta|Embryophyta
18020	846496		Ginkgophyta		Plantae										division	synonym	2014-12-22		18020			Plantae|Viridiplantae|Streptophyta|Embryophyta
18024	846496		Coniferophyta		Plantae										division	synonym	2014-12-22		18024			Plantae|Viridiplantae|Streptophyta|Embryophyta
18053	846496		Gnetophyta		Plantae										division	synonym	2014-12-22		18053			Plantae|Viridiplantae|Streptophyta|Embryophyta
18061	846496		Magnoliophyta		Plantae										division	synonym	2014-12-22		18061			Plantae|Viridiplantae|Streptophyta|Embryophyta
500001	846496		Equisetophyta		Plantae										division	synonym	2014-12-22		500001			Plantae|Viridiplantae|Streptophyta|Embryophyta
500002	846496		Lycopodiophyta		Plantae										division	synonym	2014-12-22		500002			Plantae|Viridiplantae|Streptophyta|Embryophyta
500003	846496		Polypodiophyta		Plantae										division	synonym	2014-12-22		500003			Plantae|Viridiplantae|Streptophyta|Embryophyta
564824	846496		Tracheobionta		Plantae										subkingdom	synonym	2014-12-22		564824			Plantae|Viridiplantae|Streptophyta|Embryophyta
564825	846496		Psilophyta		Plantae										division	synonym	2014-12-22		564825			Plantae|Viridiplantae|Streptophyta|Embryophyta
564826	846496		Pteridophyta		Plantae										division	synonym	2014-12-22		564826			Plantae|Viridiplantae|Streptophyta|Embryophyta
846503	846496		Pteridophytina		Plantae										subdivision	synonym	2014-12-22		846503			Plantae|Viridiplantae|Streptophyta|Embryophyta
